t,dobrushin,row_hetero,RV_t,VIX_t
1390,0.0162632376886904,0.0040893286880519,0.0002448372248758,17.91
1391,0.015448251273483,0.0037748945337604,0.0002369875396605,17.69
1392,0.0167693551629781,0.0042626394278774,0.0002452282936603,17.2
1393,0.0152475466020405,0.0037086567675274,0.000265808669814,17.58
1394,0.0147038833238184,0.0035080196229295,0.0002191898474873,19.36
1395,0.0154895284213125,0.0038928092466761,0.0002165753795974,18.31
1396,0.0146331554278731,0.0035839832936623,0.0002096293515013,17.7
1397,0.0144725139252841,0.0035597843917632,0.0002084004714496,18.24
1398,0.0147061464376747,0.0036751078059175,0.0002168099688111,19.46
1399,0.0158078209497034,0.0040453987108286,0.0001898697772574,18.04
1400,0.0156607069075107,0.0039693563743823,0.000138710822573,17.97
1401,0.0162384840659797,0.0041506770816365,0.0001325745671273,17.28
1402,0.0160275162197649,0.0040614642955438,0.000117445698347,16.15
1403,0.0163123556412756,0.0041379134920159,0.0001085435418249,16.72
1404,0.0153942797333002,0.0038029422450446,0.0001142167804246,16.79
1405,0.0148056880570948,0.0036037765700457,0.0001139839063826,16.06
1406,0.0148963844403624,0.0036774427068705,0.0001298081183326,15.59
1407,0.0143434582278132,0.0034802993345591,0.0001299368165926,15.45
1408,0.0146910897456109,0.0036850253082435,0.0001296601988144,16.12
1409,0.0143302674405276,0.003557702476905,0.0001416259392207,17.91
1410,0.015904395841062,0.004089745747471,0.0001410207293507,21.57
1411,0.015481874346733,0.003945347035197,0.0001377959199128,21.67
1412,0.0151216401718556,0.0038051056584675,0.0001291650212016,18.56
1413,0.014715370722115,0.0036665722414198,0.0001275713535757,17.15
1414,0.0153439794667065,0.0038835599610851,9.123514437172176e-05,17.22
1415,0.0151799824088811,0.0038272055386493,9.233257460978072e-05,16.79
1416,0.0153643782250583,0.0038734042703453,8.5920797727395e-05,18.84
1417,0.0147944916971027,0.0036739369653641,8.415194343656802e-05,16.39
1418,0.0158972856588661,0.0040528473604207,9.69786376296334e-05,16.19
1419,0.0144375567324459,0.0035230648500048,0.0001055282265796,16.48
1420,0.0165959373116493,0.0042980811618243,0.0001064602117975,16.11
1421,0.0150428609922528,0.0037491877673049,9.906040305937444e-05,16.41
1422,0.0153106870129704,0.003861138139936,9.49047749804647e-05,16.41
1423,0.0167880393564701,0.0043958047975594,0.0001365830703856,18.14
1424,0.0181638011708855,0.0047621950388004,0.0001360660793832,17.96
1425,0.0157481716014444,0.0039257799441415,0.0001464236977208,18.8
1426,0.0147820161655545,0.0035766501939206,0.0002002910174339,20.95
1427,0.0143002108670771,0.0033809780347026,0.0001865474577771,19.37
1428,0.0142705929465591,0.0035315980263029,0.0002122028226795,19.46
1429,0.0137623627670109,0.0033557137223556,0.0002121678830605,18.18
1430,0.0151046859100461,0.0039017802167069,0.0001973460453223,18.69
1431,0.0144085297361016,0.0036418218711259,0.0002076861982914,20.81
1432,0.015946093481034,0.0041519346505855,0.0002257706934084,25.71
1433,0.0197191913612186,0.004973420769804,0.0002259734090993,24.36
1434,0.0195970763452351,0.0050064366223033,0.0002255072932291,20.87
1435,0.0195450144819915,0.0049488902029264,0.0002244663517776,18.63
1436,0.0195168294012546,0.0049491995820142,0.0002220069406379,17.75
1437,0.0194137599319219,0.004907475342905,0.0002223039350127,18.76
1438,0.019396306015551,0.0049140012493789,0.0002407439713518,23.25
1439,0.0192924081347882,0.0050161763304461,0.000236460815649,22.56
1440,0.0196084342896938,0.0050411778141553,0.000257339034241,23.14
1441,0.0193854058161377,0.0050432876530119,0.0002654390592385,21.15
1442,0.0199670800939202,0.0050690942014307,0.0002796171410796,22.96
1443,0.0197839941829442,0.0049960563210174,0.0002786867727408,21.3
1444,0.01960687385872,0.0050009984742561,0.000225492511308,21.0
1445,0.0194578547962009,0.0049182613195243,0.000227807268028,19.54
1446,0.019357387907803,0.0048846063345219,0.0002253311990921,18.77
1447,0.0194182060658931,0.0049471052281984,0.0001845975625825,20.0
1448,0.0193084580823779,0.0048660370618456,0.0001836273073324,19.85
1449,0.0193615495227277,0.0049205901414808,0.0001587239941362,18.64
1450,0.0193218695931136,0.0048856910029645,0.000180434067883,16.86
1451,0.0193394403904676,0.0050031808320972,0.0001902387909276,16.3
1452,0.0193370790220797,0.0048776850022802,0.000179609492751,16.31
1453,0.0194044727832078,0.0049234143241938,0.0001604385130352,15.7
1454,0.0193911027163267,0.0049118855798786,0.0001606811547417,15.49
1455,0.0193644263781607,0.0048977250597041,0.000156268109082,15.01
1456,0.0193905415944755,0.0049124664272674,0.0001650283339842,15.43
1457,0.0194472591392695,0.0049864582190609,0.000162884267609,15.24
1458,0.0194816999137401,0.0049465320979304,0.0001648561069953,15.98
1459,0.0193668124265968,0.0048995253056137,0.0001455066767431,16.98
1460,0.0195177313871681,0.004980648389268,0.0001422291206908,16.53
1461,0.0195000376552343,0.0049540111092656,0.0001039415593054,16.26
1462,0.019482740201056,0.0049469676571161,9.613788057950908e-05,16.41
1463,0.0195676186122,0.004987301671821,7.895100358068338e-05,16.03
1464,0.01955356169492,0.0049726225316574,8.144427500564188e-05,15.1
1465,0.0196150466799736,0.005021256066056,7.427775461161531e-05,15.44
1466,0.0196809386834502,0.0050396701132859,6.526353306041554e-05,16.48
1467,0.0197201357223093,0.0050609065777926,6.951274750315228e-05,17.22
1468,0.0198684772476553,0.0051231824476209,8.49515974538567e-05,17.78
1469,0.0199276059865951,0.0050361070117163,0.0001163126183075,18.73
1470,0.0197453005239367,0.0049691675387649,0.0001180343862251,17.66
1471,0.0195600427687168,0.0050040389477002,0.000140409641839,16.29
1472,0.0197229119949042,0.0050909347192506,0.0001259125410024,16.49
1473,0.0198406768031418,0.0051013363217966,0.0001331569769468,16.37
1474,0.0200532446615397,0.00514982444507,0.000133134735573,17.11
1475,0.019948810338974,0.0051451077126593,0.0001595656692685,17.59
1476,0.0200969367288053,0.0050912550145678,0.0001703874407184,17.91
1477,0.0199644896201789,0.0051431838924736,0.0001758876613054,19.17
1478,0.0199773218482732,0.0050832256819011,0.0001902029461901,19.38
1479,0.01985918963328,0.0050379872140208,0.0001916219003183,18.58
1480,0.0197749244980514,0.0051111198416111,0.0001901849372731,28.62
1481,0.0199249247089028,0.0051152538018997,0.0001902964128021,22.96
1482,0.0199014991521835,0.0051140142648609,0.0001944558046354,27.19
1483,0.0200521810911595,0.005159000612118,0.0001993639764728,31.12
1484,0.0200708271004259,0.0051303172226907,0.0002006939695906,27.95
1485,0.020052638836205,0.0051597133805655,0.0002146400745086,30.67
1486,0.0201569870114326,0.0051464587186623,0.0002360258905644,27.18
1487,0.0195880145765841,0.0050762688929233,0.0002462397340076,21.89
1488,0.0203777975402772,0.0052136260464235,0.0002527937748426,19.9
1489,0.020225285552442,0.0051626947059324,0.0002278051039857,21.58
1490,0.0200789626687765,0.0051419769592507,0.0001944784346545,18.69
1491,0.0200156280770897,0.0051217994655824,0.000196843872311,20.31
1492,0.0199801581911742,0.0051053404456838,0.0001575318356418,21.89
1493,0.0199314844794571,0.0050948583825118,0.0001569198689837,19.29
1494,0.0199404722079634,0.0051046994411283,0.0001463966766434,20.57
1495,0.0199408312328159,0.0051052585288079,0.0001446351032178,21.57
1496,0.01816519908607,0.0042859141498503,0.0001449031520347,22.87
1497,0.018396777100861,0.0043480680314729,0.0001916867845995,21.01
1498,0.0183213907293975,0.0043338128130393,0.0002211060477231,18.63
1499,0.0170101337134838,0.0040069303108435,0.0002158990588371,17.96
1500,0.0182521380484104,0.0042997608381489,0.0002111297885898,17.68
1501,0.0182123049162328,0.0042891323158787,0.000210543121845,17.54
1502,0.018007818609476,0.0042370273822586,0.0002086910512873,16.95
1503,0.0179574191570281,0.0042306729815022,0.00019840073244,17.33
1504,0.0179931102320551,0.0042436278403206,0.0001981780800868,17.22
1505,0.0179549185559153,0.0042231821740416,0.0003921532441695,16.6
1506,0.0163579762447625,0.0037587789790422,0.0004609387399223,16.91
1507,0.0163599834777414,0.0037738409655337,0.0004487588856026,19.73
1508,0.0175628238357603,0.0041183313649611,0.0004381009142548,19.61
1509,0.0182484788820147,0.0042806261422909,0.0004356977599437,18.76
1510,0.0174648608081042,0.0041029903924826,0.0004333503360061,19.4
1511,0.018382694106549,0.0042701080918111,0.0004410852581372,18.41
1512,0.0192368165589869,0.004485002486192,0.0004450970373278,17.62
1513,0.0191173125058412,0.004458333176846,0.0004530500949263,20.31
1514,0.0175973237492144,0.004130290560926,0.0004605609643639,19.19
1515,0.0192203116603195,0.0044847713846098,0.0004742174728867,22.79
1516,0.0193262742832303,0.004510353655501,0.0004932278862513,23.85
1517,0.0192939145490527,0.0045085462261781,0.0004662706859491,25.59
1518,0.0183377335779368,0.0042943514808259,0.0003772234085854,28.85
1519,0.0183532605879008,0.0042965595826807,0.0004036868207437,29.9
1520,0.0195349715650081,0.004552709553328,0.0003961625469966,31.16
1521,0.0188842602074146,0.0044084545952402,0.0004119038039136,31.96
1522,0.0193270836025476,0.0044998394977614,0.0004136973515247,30.49
1523,0.0187359610572457,0.0043871836260161,0.0004129210194903,27.66
1524,0.0184849314391613,0.0043091282806663,0.0004129856984541,24.83
1525,0.0179558396339416,0.0041911492538121,0.0004137854497364,21.96
1526,0.018237539101392,0.0042461251118769,0.0002557863948912,22.09
1527,0.0191760919988155,0.0044773419309244,0.000167183674148,24.35
1528,0.0188608397729694,0.0044021921853224,0.0001825450527167,23.22
1529,0.0174549482762813,0.0040960356335999,0.0001784295648786,22.86
1530,0.0190508500672876,0.0044400335399289,0.0001603666084543,21.44
1531,0.0187886604107916,0.0043804768824115,0.0001858151700416,19.96
1532,0.0176318041048944,0.0041322164532261,0.0002201081236252,23.91
